year,id,j2051b,j2054b
2009,651,30,30
2007,652,15,0
2008,652,0,0
2006,662,20,0
2007,662,20,0
2008,662,20,0
2009,662,20,10
2006,663,0,60
2009,663,20,60
2007,664,10,20
2008,664,0,0
2006,665,0,0
2007,665,0,0
2006,667,30,10
2007,667,30,60
2008,667,30,20
2009,667,30,60
2006,668,30,0
2007,668,30,0
2008,668,30,0
2009,668,30,0
2006,670,0,0
2007,670,0,0
2008,670,0,0
2006,674,0,60
2006,675,30,60
2007,675,40,0
2008,675,30,0
2006,676,50,60
2007,676,0,60
2006,677,15,0
2006,678,20,60
2007,678,20,60
2008,678,20,30
2009,678,20,30
2009,680,20,30
2006,681,20,10
2007,681,30,60
2008,681,20,20
2009,681,30,30
2006,682,20,30
2007,682,30,0
2008,682,15,0
2009,682,40,0
2006,683,15,40
2007,683,20,0
2008,683,15,0
2009,683,20,0
2006,684,10,0
2007,684,15,0
2009,684,20,0
2006,685,40,60
2007,685,40,60
2009,685,20,60
2006,686,20,0
2007,686,30,0
2008,686,15,0
2009,686,30,0
2006,687,20,60
2008,687,30,0
2009,687,20,60
2006,689,20,40
2007,689,30,60
2008,689,20,30
2009,689,30,30
2006,690,40,30
2008,690,20,0
2009,690,20,0
2006,698,0,0
2007,698,0,60
2009,698,20,60
2006,699,0,160
2006,700,0,0
2007,700,0,0
2008,700,0,0
2009,700,0,0
2006,701,0,0
2007,701,0,0
2008,701,0,0
2006,702,0,30
2009,708,0,0
2006,709,0,0
2007,709,0,0
2008,709,0,0
2006,714,0,0
2007,714,0,0
2008,714,0,0
2009,714,0,0
2006,716,5,60
2007,716,5,0
2006,718,0,0
2007,718,0,0
2008,718,0,0
2009,718,0,0
2006,721,20,0
2007,721,20,0
2008,721,30,0
2009,721,60,0
2006,722,30,90
2007,722,90,120
2009,722,60,90
2006,723,30,0
2007,723,30,0
2008,723,15,0
2006,725,10,60
2007,725,20,90
2009,725,15,60
2006,726,10,0
2007,726,20,0
2008,726,30,0
2009,726,30,0
2007,729,20,60
2008,729,20,0
2009,729,20,20
2006,732,0,0
2007,732,30,0
2008,732,15,0
2009,732,20,0
2007,733,40,120
2008,733,20,90
2009,733,40,60
2006,735,0,0
2007,735,90,90
2008,735,60,60
2009,735,60,60
2006,738,0,0
2007,738,40,0
2008,738,15,0
2009,738,0,0
2006,739,0,0
2006,740,60,60
2008,740,40,0
2009,740,60,0
2006,742,30,20
2008,742,60,90
2006,743,40,0
2007,743,40,0
